2019-04-10 04:47:09.593 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_fund_release_details' already exists: create table cf_fund_release_details (_uuid_ varchar(75) null,_FUND_RELEASE_ID bigint not null primary key,_PROJECT_FEES_ID bigint,_PROJECT_ID bigint,_CURRENCY varchar(75) null,_PROCESSING_FEES double,_PROJECT_FEES double,_PAYMENT_GATEWAY_CHARGES double,_OTHER_CHARGES double,_TOTAL_WITHDRAW_AMOUNT double,_STATUS integer,_RELEASE_DATE datetime(6) null,_REQUEST_DATE datetime(6) null_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.595 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_history_log_details' already exists: create table cf_history_log_details (_uuid_ varchar(75) null,_HISTORY_ID bigint not null primary key,_USER_ID bigint,_URL varchar(75) null,_DATE datetime(6) null_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.597 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_news_letter_details' already exists: create table cf_news_letter_details (_uuid_ varchar(75) null,_NEWS_LETTER_ID bigint not null primary key,_TITLE varchar(75) null,_DETAILS varchar(75) null,_DOCUMENT_TYPE varchar(75) null,_DOCUMENT longblob,_DATE datetime(6) null_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.598 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_position_details' already exists: create table cf_position_details (_uuid_ varchar(75) null,_POSITION_ID bigint not null primary key,_ADVERTISMENT_NUM varchar(75) null,_POSITION_NAME varchar(75) null,_DESCRIPTION varchar(75) null,_EXPERIENCE_LEVEL varchar(75) null,_SALARY varchar(75) null,_INDUSTRY_TYPE varchar(75) null,_FUNCTIONAL_AREA varchar(75) null,_ROLE_CATEGORY varchar(75) null,_EMPLOYMENT_TYPE varchar(75) null,_LOCATION varchar(75) null,_DATE datetime(6) null,_STATUS integer_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.600 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_project_account_details' already exists: create table cf_project_account_details (_uuid_ varchar(75) null,_ACCOUNT_ID bigint not null primary key,_PROJECT_ID bigint,_ACCOUNT_NO bigint,_ACCOUNT_HOLDER_NAME varchar(1000) null,_IFSC_CODE varchar(75) null,_UPI_NO varchar(75) null_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.602 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_project_benificiary_details' already exists: create table cf_project_benificiary_details (_uuid_ varchar(75) null,_BENIFICIARY_ID bigint not null primary key,_BENIFICIARY_CATEGORY varchar(75) null,_BENIFICIARY_TYPE varchar(75) null,_BENIFICIARY_NAME varchar(500) null,_AGE varchar(75) null,_GENDER varchar(75) null,_LOCATION varchar(75) null,_RELATIONSHIP varchar(500) null,_RELATIONSHIP_DETAILS varchar(75) null,_MEMBERS_NO integer,_CAUSE_DETAILS varchar(75) null,_ADDRESS_LINE1 varchar(1000) null,_ADDRESS_LINE2 varchar(1000) null,_CITY varchar(75) null,_STATE varchar(75) null,_PINCODE integer,_COUNTRY varchar(75) null,_CONTACT_NAME varchar(75) null,_CONTACT_NO bigint,_ALTERNATE_CONTACT_NO bigint,_EMERGENCY_CONTACT_DETAILS longtext null,_IMAGE_TYPE varchar(75) null,_IMAGE longblob_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.604 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_project_comment_details' already exists: create table cf_project_comment_details (_uuid_ varchar(75) null,_PROJECT_COMMENT_ID bigint not null primary key,_PROJECT_ID bigint,_COMMENT longtext null,_ANSWER longtext null,_DONOR_USER_ID bigint,_COMMENT_DATE datetime(6) null,_STATUS integer_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.605 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_project_document_details' already exists: create table cf_project_document_details (_uuid_ varchar(75) null,_PROJECT_DOCUMENT_ID bigint not null primary key,_PROJECT_ID bigint,_DOCUMENT_NAME varchar(1000) null,_DOCUMENT_TYPE varchar(75) null,_DOCUMENT longblob_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.608 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_project_feedback_details' already exists: create table cf_project_feedback_details (_uuid_ varchar(75) null,_PROJECT_FEEDBACK_ID bigint not null primary key,_PROJECT_ID bigint,_FEEDBACK longtext null,_DONOR_USER_ID bigint,_FEEDBACK_DATE datetime(6) null,_STATUS integer_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.610 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_project_fees_details' already exists: create table cf_project_fees_details (_uuid_ varchar(75) null,_PROJECT_FEES_ID bigint not null primary key,_CATEGORY_ID bigint,_PROJECT_ID bigint,_START_AMOUNT double,_END_AMOUNT double,_WITHDRAW_STATUS integer,_DATE datetime(6) null_) engine InnoDB;_ [Sanitized]
2019-04-10 04:47:09.636 WARN  [Refresh Thread: Equinox Container: d08f5495-d595-4ef3-a89a-42ebce63e974][BaseDB:487] Table 'cf_project_follower_details' already exists: create table cf_project_follower_details (_uuid_ varchar(75) null,_PROJECT_FOLLOWER_ID bigint not null primary key,_USER_ID bigint,_PROJECT_ID bigint,_STATUS integer_) engine InnoDB;_ [Sanitized]
